2463,无头骑士异闻录,デュラララ!!,249,8.0
193378,重启咲良田,サクラダリセット,250,8.0
55770,进击的巨人,進撃の巨人,252,8.0
2481,宇宙骑士BLADE,宇宙の騎士テッカマンブレード,255,8.0
5694,萩萩公主,プリンセスチュチュ,259,8.0
968,天体战士,天体戦士サンレッド,260,8.0
50,机动战士高达,機動戦士ガンダム,264,8.0
60901,苍穹之法芙娜 EXODUS,蒼穹のファフナー EXODUS,267,8.0
211269,探险活宝 第九季,Adventure Time season 9,269,8.6
332261,JOJO的奇妙冒险 石之海,ジョジョの奇妙な冒険 ストーンオーシャン,270,8.0
150490,JOJO的奇妙冒险 不灭钻石,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,271,7.9
59664,银之匙 Silver Spoon,銀の匙 Silver Spoon,272,7.9
24790,男子高中生的日常,男子高校生の日常,274,7.9
33491,南方公园 第16季,South Park Season 16,275,8.0
2611,天体战士 第2期,天体戦士サンレッド 第2期,276,8.0
2045,麻辣教师GTO,GTO,277,7.9
29421,少年同盟 2,君と僕。2,278,7.9
5753,飞出个未来 第6季,Futurama (Season 6),280,8.5
2096,秀逗魔导士NEXT,スレイヤーズNEXT,281,7.9
2582,玲音,Serial Experiments Lain,283,7.9
3478,交响情人梦Finale,のだめカンタービレ フィナーレ,287,7.9
2896,×××HOLiC◆继,×××HOLiC◆継,289,7.9
4607,降世神通：最后的气宗 第二季,Avatar:The Last Airbender Season 2,290,8.0
3130,数码宝贝驯兽师之王,デジモンテイマーズ,292,7.9
2981,勇者王GaoGaiGar Final Grand Glorious Gathering,勇者王ガオガイガーFINAL GRAND GLORIOUS GATHERING,293,8.1
35858,小马驹G4 第二季,My Little Pony: Friendship Is Magic : S2,296,8.0
1878,校园迷糊大王 二学期,スクールランブル 二学期,297,7.9
45336,怪诞小镇 第一季,Gravity Falls Season 1,298,8.0
293049,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,299,7.9
130230,苍穹之法芙娜 EXODUS 第2期,蒼穹のファフナー EXODUS 第2クール,300,7.9
68035,有顶天家族,有頂天家族,301,7.9
26449,人类衰退之后,人類は衰退しました,305,7.9
